[Header]
Data File Name	D:\助燃剂标准品检验\92#汽油\百分一92#汽-乙.qgd
Output Date	2018/4/17
Output Time	17:25:25

[MS Chromatogram]
m/z	1-1 83.00
Event Time(msec)	200
# of Points	9750
Start Time(min)	2.500
End Time(min)	34.997
Ret.Time	Absolute Intensity	Relative Intensity
6.143	2593	0.32
6.147	2073	0.25
6.150	1795	0.22
6.153	1676	0.20
6.157	1642	0.20
6.160	1621	0.20
6.163	1594	0.19
6.167	1579	0.19
6.170	1570	0.19
6.173	1565	0.19
6.177	1566	0.19
6.180	1576	0.19
6.183	1590	0.19
6.187	1598	0.20
6.190	1602	0.20
6.193	1623	0.20
6.197	1652	0.20
6.200	1667	0.20
6.203	1698	0.21
6.207	1723	0.21
6.210	1717	0.21
6.213	1743	0.21
6.217	1820	0.22
6.220	1875	0.23
6.223	1866	0.23
6.227	1852	0.23
6.230	1847	0.23
6.233	1868	0.23
6.237	1918	0.23
6.240	1923	0.24
6.243	1913	0.23
6.247	1953	0.24
6.250	2034	0.25
6.253	2172	0.27
6.257	2433	0.30
6.260	2726	0.33
6.263	2915	0.36
6.267	3288	0.40
6.270	3779	0.46
6.273	4041	0.49
6.277	4138	0.51
6.280	4123	0.50
6.283	4022	0.49
6.287	3996	0.49
6.290	3989	0.49
6.293	3883	0.47
6.297	3780	0.46
6.300	3641	0.45
6.303	3436	0.42
6.307	3273	0.40
6.310	3128	0.38
6.313	2970	0.36
6.317	2802	0.34
6.320	2638	0.32
6.323	2568	0.31
6.327	2504	0.31
6.330	2358	0.29
6.333	2195	0.27
6.337	2085	0.25
6.340	2024	0.25
6.343	1978	0.24
6.347	1957	0.24
6.350	1961	0.24
6.353	2020	0.25
6.357	2121	0.26
6.360	2157	0.26
6.363	2184	0.27
6.367	2298	0.28
6.370	2431	0.30
6.373	2493	0.30
6.377	2536	0.31
6.380	2604	0.32
6.383	2616	0.32
6.387	2585	0.32
6.390	2588	0.32
6.393	2590	0.32
6.397	2547	0.31
6.400	2453	0.30
6.403	2357	0.29
6.407	2336	0.29
6.410	2354	0.29
6.413	2346	0.29
6.417	2370	0.29
6.420	2455	0.30
6.423	2573	0.31
6.427	2752	0.34
6.430	3028	0.37
6.433	3509	0.43
6.437	4174	0.51
6.440	4854	0.59
6.443	5676	0.69
6.447	6361	0.78
6.450	6763	0.83
6.453	7028	0.86
6.457	7132	0.87
6.460	7132	0.87
6.463	7122	0.87
6.467	7111	0.87
6.470	7052	0.86
6.473	6982	0.85
6.477	6856	0.84
6.480	6565	0.80
6.483	6253	0.76
6.487	6028	0.74
6.490	5653	0.69
6.493	5136	0.63
6.497	4748	0.58
6.500	4492	0.55
6.503	4125	0.50
6.507	3697	0.45
